ZSE|2022:12:05:21:21:54:014|MARKET INITIALIZATION 
ZSE|2022:12:05:21:21:54:017|LOCK_SELL-ZSE-KIND_TO_SELL:EUR-QUANTITY_TO_SELL:100-OFFER:1-ERROR
ZSE|2022:12:05:21:21:54:017|LOCK_SELL-ZSE-KIND_TO_SELL:EUR-QUANTITY_TO_SELL:100-OFFER:1-ERROR
ZSE|2022:12:05:21:21:54:017|LOCK_SELL-ZSE-KIND_TO_SELL:EUR-QUANTITY_TO_SELL:100-OFFER:1-ERROR
ZSE|2022:12:05:21:21:54:017|LOCK_SELL-ZSE-KIND_TO_SELL:EUR-QUANTITY_TO_SELL:100-OFFER:1-ERROR
ZSE|2022:12:05:21:21:54:017|LOCK_SELL-ZSE-KIND_TO_SELL:EUR-QUANTITY_TO_SELL:100-OFFER:1-ERROR
ZSE|2022:12:05:21:21:54:017|LOCK_SELL-ZSE-KIND_TO_SELL:EUR-QUANTITY_TO_SELL:100-OFFER:1-ERROR
ZSE|2022:12:05:21:21:54:017|LOCK_SELL-ZSE-KIND_TO_SELL:EUR-QUANTITY_TO_SELL:100-OFFER:1-ERROR
ZSE|2022:12:05:21:21:54:017|LOCK_SELL-ZSE-KIND_TO_SELL:EUR-QUANTITY_TO_SELL:100-OFFER:1-ERROR
ZSE|2022:12:05:21:21:54:018|LOCK_SELL-ZSE-KIND_TO_SELL:EUR-QUANTITY_TO_SELL:100-OFFER:1-ERROR
ZSE|2022:12:05:21:21:54:018|LOCK_SELL-ZSE-KIND_TO_SELL:EUR-QUANTITY_TO_SELL:100-OFFER:1-ERROR
ZSE|2022:12:05:21:21:54:018|LOCK_SELL-ZSE-KIND_TO_SELL:EUR-QUANTITY_TO_SELL:100-OFFER:1-ERROR
ZSE|2022:12:05:21:21:54:018|LOCK_SELL-ZSE-KIND_TO_SELL:EUR-QUANTITY_TO_SELL:100-OFFER:1-ERROR
ZSE|2022:12:05:21:21:54:018|LOCK_SELL-ZSE-KIND_TO_SELL:EUR-QUANTITY_TO_SELL:100-OFFER:1-ERROR
ZSE|2022:12:05:21:21:54:018|LOCK_SELL-ZSE-KIND_TO_SELL:EUR-QUANTITY_TO_SELL:100-OFFER:1-ERROR
ZSE|2022:12:05:21:21:54:018|LOCK_SELL-ZSE-KIND_TO_SELL:EUR-QUANTITY_TO_SELL:100-OFFER:1-ERROR
ZSE|2022:12:05:21:21:54:018|LOCK_SELL-ZSE-KIND_TO_SELL:EUR-QUANTITY_TO_SELL:100-OFFER:1-ERROR
ZSE|2022:12:05:21:21:54:018|LOCK_SELL-ZSE-KIND_TO_SELL:EUR-QUANTITY_TO_SELL:100-OFFER:1-ERROR
ZSE|2022:12:05:21:21:54:018|LOCK_SELL-ZSE-KIND_TO_SELL:EUR-QUANTITY_TO_SELL:100-OFFER:1-ERROR
ZSE|2022:12:05:21:21:54:019|LOCK_SELL-ZSE-KIND_TO_SELL:EUR-QUANTITY_TO_SELL:100-OFFER:1-ERROR
ZSE|2022:12:05:21:21:54:019|LOCK_SELL-ZSE-KIND_TO_SELL:EUR-QUANTITY_TO_SELL:100-OFFER:1-ERROR
ZSE|2022:12:05:21:21:54:019|LOCK_SELL-ZSE-KIND_TO_SELL:EUR-QUANTITY_TO_SELL:100-OFFER:1-ERROR
ZSE|2022:12:05:21:21:54:019|LOCK_SELL-ZSE-KIND_TO_SELL:EUR-QUANTITY_TO_SELL:100-OFFER:1-ERROR
ZSE|2022:12:05:21:21:54:019|LOCK_SELL-ZSE-KIND_TO_SELL:EUR-QUANTITY_TO_SELL:100-OFFER:1-ERROR
ZSE|2022:12:05:21:21:54:019|LOCK_SELL-ZSE-KIND_TO_SELL:EUR-QUANTITY_TO_SELL:100-OFFER:1-ERROR
ZSE|2022:12:05:21:21:54:019|LOCK_SELL-ZSE-KIND_TO_SELL:EUR-QUANTITY_TO_SELL:100-OFFER:1-ERROR
ZSE|2022:12:05:21:21:54:019|LOCK_SELL-ZSE-KIND_TO_SELL:EUR-QUANTITY_TO_SELL:100-OFFER:1-ERROR
ZSE|2022:12:05:21:21:54:019|LOCK_SELL-ZSE-KIND_TO_SELL:EUR-QUANTITY_TO_SELL:100-OFFER:1-ERROR
ZSE|2022:12:05:21:21:54:020|LOCK_SELL-ZSE-KIND_TO_SELL:EUR-QUANTITY_TO_SELL:100-OFFER:1-ERROR
ZSE|2022:12:05:21:21:54:020|LOCK_SELL-ZSE-KIND_TO_SELL:EUR-QUANTITY_TO_SELL:100-OFFER:1-ERROR
ZSE|2022:12:05:21:21:54:020|LOCK_SELL-ZSE-KIND_TO_SELL:EUR-QUANTITY_TO_SELL:100-OFFER:1-ERROR
ZSE|2022:12:05:21:21:54:020|LOCK_SELL-ZSE-KIND_TO_SELL:EUR-QUANTITY_TO_SELL:100-OFFER:1-ERROR
ZSE|2022:12:05:21:21:54:020|LOCK_SELL-ZSE-KIND_TO_SELL:EUR-QUANTITY_TO_SELL:100-OFFER:1-ERROR
ZSE|2022:12:05:21:21:54:020|LOCK_SELL-ZSE-KIND_TO_SELL:EUR-QUANTITY_TO_SELL:100-OFFER:1-ERROR
ZSE|2022:12:05:21:21:54:020|LOCK_SELL-ZSE-KIND_TO_SELL:EUR-QUANTITY_TO_SELL:100-OFFER:1-ERROR
ZSE|2022:12:05:21:21:54:020|LOCK_SELL-ZSE-KIND_TO_SELL:EUR-QUANTITY_TO_SELL:100-OFFER:1-ERROR
ZSE|2022:12:05:21:21:54:020|LOCK_SELL-ZSE-KIND_TO_SELL:EUR-QUANTITY_TO_SELL:100-OFFER:1-ERROR
ZSE|2022:12:05:21:21:54:020|LOCK_SELL-ZSE-KIND_TO_SELL:EUR-QUANTITY_TO_SELL:100-OFFER:1-ERROR
ZSE|2022:12:05:21:21:54:021|LOCK_SELL-ZSE-KIND_TO_SELL:EUR-QUANTITY_TO_SELL:100-OFFER:1-ERROR
ZSE|2022:12:05:21:21:54:021|LOCK_SELL-ZSE-KIND_TO_SELL:EUR-QUANTITY_TO_SELL:100-OFFER:1-ERROR
ZSE|2022:12:05:21:21:54:021|LOCK_SELL-ZSE-KIND_TO_SELL:EUR-QUANTITY_TO_SELL:100-OFFER:1-ERROR
ZSE|2022:12:05:21:21:54:021|LOCK_SELL-ZSE-KIND_TO_SELL:EUR-QUANTITY_TO_SELL:100-OFFER:1-ERROR
ZSE|2022:12:05:21:21:54:021|LOCK_SELL-ZSE-KIND_TO_SELL:EUR-QUANTITY_TO_SELL:100-OFFER:1-ERROR
ZSE|2022:12:05:21:21:54:021|LOCK_SELL-ZSE-KIND_TO_SELL:EUR-QUANTITY_TO_SELL:100-OFFER:1-ERROR
ZSE|2022:12:05:21:21:54:021|LOCK_SELL-ZSE-KIND_TO_SELL:EUR-QUANTITY_TO_SELL:100-OFFER:1-ERROR
ZSE|2022:12:05:21:21:54:021|LOCK_SELL-ZSE-KIND_TO_SELL:EUR-QUANTITY_TO_SELL:100-OFFER:1-ERROR
ZSE|2022:12:05:21:21:54:021|LOCK_SELL-ZSE-KIND_TO_SELL:EUR-QUANTITY_TO_SELL:100-OFFER:1-ERROR
ZSE|2022:12:05:21:21:54:021|LOCK_SELL-ZSE-KIND_TO_SELL:EUR-QUANTITY_TO_SELL:100-OFFER:1-ERROR
ZSE|2022:12:05:21:21:54:022|LOCK_SELL-ZSE-KIND_TO_SELL:EUR-QUANTITY_TO_SELL:100-OFFER:1-ERROR
ZSE|2022:12:05:21:21:54:022|LOCK_SELL-ZSE-KIND_TO_SELL:EUR-QUANTITY_TO_SELL:100-OFFER:1-ERROR
ZSE|2022:12:05:21:21:54:022|LOCK_SELL-ZSE-KIND_TO_SELL:EUR-QUANTITY_TO_SELL:100-OFFER:1-ERROR
ZSE|2022:12:05:21:21:54:022|LOCK_SELL-ZSE-KIND_TO_SELL:EUR-QUANTITY_TO_SELL:100-OFFER:1-ERROR
ZSE|2022:12:05:21:21:54:022|LOCK_SELL-ZSE-KIND_TO_SELL:EUR-QUANTITY_TO_SELL:100-OFFER:1-ERROR
ZSE|2022:12:05:21:21:54:022|LOCK_SELL-ZSE-KIND_TO_SELL:EUR-QUANTITY_TO_SELL:100-OFFER:1-ERROR
ZSE|2022:12:05:21:21:54:022|LOCK_SELL-ZSE-KIND_TO_SELL:EUR-QUANTITY_TO_SELL:100-OFFER:1-ERROR
ZSE|2022:12:05:21:21:54:022|LOCK_SELL-ZSE-KIND_TO_SELL:EUR-QUANTITY_TO_SELL:100-OFFER:1-ERROR
ZSE|2022:12:05:21:21:54:022|LOCK_SELL-ZSE-KIND_TO_SELL:EUR-QUANTITY_TO_SELL:100-OFFER:1-ERROR
ZSE|2022:12:05:21:21:54:022|LOCK_SELL-ZSE-KIND_TO_SELL:EUR-QUANTITY_TO_SELL:100-OFFER:1-ERROR
ZSE|2022:12:05:21:21:54:022|LOCK_SELL-ZSE-KIND_TO_SELL:EUR-QUANTITY_TO_SELL:100-OFFER:1-ERROR
ZSE|2022:12:05:21:21:54:022|LOCK_SELL-ZSE-KIND_TO_SELL:EUR-QUANTITY_TO_SELL:100-OFFER:1-ERROR
ZSE|2022:12:05:21:21:54:022|LOCK_SELL-ZSE-KIND_TO_SELL:EUR-QUANTITY_TO_SELL:100-OFFER:1-ERROR
ZSE|2022:12:05:21:21:54:022|LOCK_SELL-ZSE-KIND_TO_SELL:EUR-QUANTITY_TO_SELL:100-OFFER:1-ERROR
ZSE|2022:12:05:21:21:54:023|LOCK_SELL-ZSE-KIND_TO_SELL:EUR-QUANTITY_TO_SELL:100-OFFER:1-ERROR
ZSE|2022:12:05:21:21:54:023|LOCK_SELL-ZSE-KIND_TO_SELL:EUR-QUANTITY_TO_SELL:100-OFFER:1-ERROR
ZSE|2022:12:05:21:21:54:023|LOCK_SELL-ZSE-KIND_TO_SELL:EUR-QUANTITY_TO_SELL:100-OFFER:1-ERROR
ZSE|2022:12:05:21:21:54:023|LOCK_SELL-ZSE-KIND_TO_SELL:EUR-QUANTITY_TO_SELL:100-OFFER:1-ERROR
ZSE|2022:12:05:21:21:54:023|LOCK_SELL-ZSE-KIND_TO_SELL:EUR-QUANTITY_TO_SELL:100-OFFER:1-ERROR
ZSE|2022:12:05:21:21:54:023|LOCK_SELL-ZSE-KIND_TO_SELL:EUR-QUANTITY_TO_SELL:100-OFFER:1-ERROR
ZSE|2022:12:05:21:21:54:023|LOCK_SELL-ZSE-KIND_TO_SELL:EUR-QUANTITY_TO_SELL:100-OFFER:1-ERROR
ZSE|2022:12:05:21:21:54:023|LOCK_SELL-ZSE-KIND_TO_SELL:EUR-QUANTITY_TO_SELL:100-OFFER:1-ERROR
ZSE|2022:12:05:21:21:54:023|LOCK_SELL-ZSE-KIND_TO_SELL:EUR-QUANTITY_TO_SELL:100-OFFER:1-ERROR
ZSE|2022:12:05:21:21:54:023|LOCK_SELL-ZSE-KIND_TO_SELL:EUR-QUANTITY_TO_SELL:100-OFFER:1-ERROR
ZSE|2022:12:05:21:21:54:023|LOCK_SELL-ZSE-KIND_TO_SELL:EUR-QUANTITY_TO_SELL:100-OFFER:1-ERROR
ZSE|2022:12:05:21:21:54:023|LOCK_SELL-ZSE-KIND_TO_SELL:EUR-QUANTITY_TO_SELL:100-OFFER:1-ERROR
ZSE|2022:12:05:21:21:54:024|LOCK_SELL-ZSE-KIND_TO_SELL:EUR-QUANTITY_TO_SELL:100-OFFER:1-ERROR
ZSE|2022:12:05:21:21:54:024|LOCK_SELL-ZSE-KIND_TO_SELL:EUR-QUANTITY_TO_SELL:100-OFFER:1-ERROR
ZSE|2022:12:05:21:21:54:024|LOCK_SELL-ZSE-KIND_TO_SELL:EUR-QUANTITY_TO_SELL:100-OFFER:1-ERROR
ZSE|2022:12:05:21:21:54:024|LOCK_SELL-ZSE-KIND_TO_SELL:EUR-QUANTITY_TO_SELL:100-OFFER:1-ERROR
ZSE|2022:12:05:21:21:54:024|LOCK_SELL-ZSE-KIND_TO_SELL:EUR-QUANTITY_TO_SELL:100-OFFER:1-ERROR
ZSE|2022:12:05:21:21:54:024|LOCK_SELL-ZSE-KIND_TO_SELL:EUR-QUANTITY_TO_SELL:100-OFFER:1-ERROR
ZSE|2022:12:05:21:21:54:024|LOCK_SELL-ZSE-KIND_TO_SELL:EUR-QUANTITY_TO_SELL:100-OFFER:1-ERROR
ZSE|2022:12:05:21:21:54:024|LOCK_SELL-ZSE-KIND_TO_SELL:EUR-QUANTITY_TO_SELL:100-OFFER:1-ERROR
ZSE|2022:12:05:21:21:54:024|LOCK_SELL-ZSE-KIND_TO_SELL:EUR-QUANTITY_TO_SELL:100-OFFER:1-ERROR
ZSE|2022:12:05:21:21:54:024|LOCK_SELL-ZSE-KIND_TO_SELL:EUR-QUANTITY_TO_SELL:100-OFFER:1-ERROR
ZSE|2022:12:05:21:21:54:024|LOCK_SELL-ZSE-KIND_TO_SELL:EUR-QUANTITY_TO_SELL:100-OFFER:1-ERROR
ZSE|2022:12:05:21:21:54:024|LOCK_SELL-ZSE-KIND_TO_SELL:EUR-QUANTITY_TO_SELL:100-OFFER:1-ERROR
ZSE|2022:12:05:21:21:54:024|LOCK_SELL-ZSE-KIND_TO_SELL:EUR-QUANTITY_TO_SELL:100-OFFER:1-ERROR
ZSE|2022:12:05:21:21:54:024|LOCK_SELL-ZSE-KIND_TO_SELL:EUR-QUANTITY_TO_SELL:100-OFFER:1-ERROR
ZSE|2022:12:05:21:21:54:025|LOCK_SELL-ZSE-KIND_TO_SELL:EUR-QUANTITY_TO_SELL:100-OFFER:1-ERROR
ZSE|2022:12:05:21:21:54:025|LOCK_SELL-ZSE-KIND_TO_SELL:EUR-QUANTITY_TO_SELL:100-OFFER:1-ERROR
ZSE|2022:12:05:21:21:54:025|LOCK_SELL-ZSE-KIND_TO_SELL:EUR-QUANTITY_TO_SELL:100-OFFER:1-ERROR
